user_role,phone,land_size,verified,specialization,location,user_roles,organization_name,certification,id,created_date,updated_date,created_by_id,created_by,is_sample
"farmer","+256-772-100003","50","true","Maize, Sunflower","Lira District","","Lira Grain Cooperative","[]","69291d7c70c03236c513c7e3","2025-11-28T03:56:44.010000","2025-11-28T03:56:44.010000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"supplier","+256-772-300004","","true","Crop Protection","Kampala","","Syngenta Uganda","[""Certified Supplier""]","69291d7c70c03236c513c7ed","2025-11-28T03:56:44.010000","2025-11-28T03:56:44.010000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"buyer","+256-414-345678","","true","Sugarcane","Jinja","","ESCO Uganda","[]","69291d7c70c03236c513c7e9","2025-11-28T03:56:44.010000","2025-11-28T03:56:44.010000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"buyer","+256-417-231231","","true","Grains, Pulses","Kampala","","World Food Programme Uganda","[]","69291d7c70c03236c513c7ea","2025-11-28T03:56:44.010000","2025-11-28T03:56:44.010000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"aggregator","+256-772-100010","","true","Sesame, Groundnuts","Gulu District","","Gulu Agricultural Traders","[]","69291d7c70c03236c513c7ee","2025-11-28T03:56:44.010000","2025-11-28T03:56:44.010000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"supplier","+256-414-258140","","true","Certified Seeds","Kampala","","Victoria Seeds Uganda","[""Certified Supplier""]","69291d7c70c03236c513c7eb","2025-11-28T03:56:44.010000","2025-11-28T03:56:44.010000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"farmer","+256-772-100005","30","true","Upland Rice","Mbale District","","Mbale Rice Farmers","[]","69291d7c70c03236c513c7e5","2025-11-28T03:56:44.010000","2025-11-28T03:56:44.010000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"farmer","+256-772-100001","15","true","Irish Potatoes, Sorghum","Kabale District","","Kabale Highland Farms","[""GlobalGAP""]","69291d7c70c03236c513c7e1","2025-11-28T03:56:44.010000","2025-11-28T03:56:44.010000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"farmer","+256-772-100002","25","true","Robusta Coffee","Masaka District","","Masaka Coffee Estates","[""Organic"",""UTZ""]","69291d7c70c03236c513c7e2","2025-11-28T03:56:44.010000","2025-11-28T03:56:44.010000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"farmer","+256-772-100006","20","true","Matooke Bananas","Bushenyi District","","Bushenyi Banana Growers","[""Organic""]","69291d7c70c03236c513c7e6","2025-11-28T03:56:44.010000","2025-11-28T03:56:44.010000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"buyer","+256-312-260260","","true","Sunflower, Maize","Kampala","","Mukwano Industries","[]","69291d7c70c03236c513c7e8","2025-11-28T03:56:44.010000","2025-11-28T03:56:44.010000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"farmer","+256-772-100004","80","true","Tea","Kasese District","","Kasese Tea Gardens","[""Rainforest Alliance""]","69291d7c70c03236c513c7e4","2025-11-28T03:56:44.010000","2025-11-28T03:56:44.010000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"buyer","+256-414-256940","","true","Coffee Export","Kampala","","Uganda Coffee Development Authority","[""Export License""]","69291d7c70c03236c513c7e7","2025-11-28T03:56:44.010000","2025-11-28T03:56:44.010000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"supplier","+256-312-261975","","true","Fertilizers, Agrochemicals","Kampala","","Balton Uganda","[""ISO Certified""]","69291d7c70c03236c513c7ec","2025-11-28T03:56:44.010000","2025-11-28T03:56:44.010000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
